id,target_grammar_id,target_usage_index,type,question,options,correct_index,explanation
GT_N1_001_01,N1_001,0,CHOICE,山[やま]田[だ]監[かん]督[とく]は私[わたし]の恩[おん]人[じん]です。今[いま]の私[わたし]があるのも監[かん]督[とく]______ことです。,"[""あっての"", ""あっても"", ""あれば"", ""ありうる""]",0,"文意：正是因为有教练的帮助，才有今天的我。
考点：「～あっての」意为「正因为有了...才有...」，表示前项是后项成立的必要条件。「あっても」表示让步，「あれば」表示条件，「ありうる」表示可能性，均不符合语境。"
GT_N1_001_02,N1_001,0,CHOICE,つらい治[ち]療[りょう]に耐[た]え、病[びょう]気[き]を克[こく]服[ふく]することができたのは、家[か]族[ぞく]の励[はげ]ましが______ことだ。,"[""あるからの"", ""あるための"", ""あっての"", ""あってからの""]",2,"文意：我之所以能够克服治疗的痛苦，战胜病魔，正是因为有家人的支持和鼓励。
考点：「～があっての」表示「正因为有了前项，才有后项」。「あるからの」「あるための」「あってからの」均不是正确的语法形式。"
GT_N1_001_03,N1_001,0,CHOICE,お客[きゃく]様[さま]______商[しょう]売[ばい]だということを忘[わす]れてはならない。,"[""があっての"", ""があるので"", ""でなくては"", ""にとっての""]",0,"文意：不能忘记正是因为有客户，才有生意。
考点：「～あっての」表示前项是后项成立的必要条件。「があるので」表示原因，「でなくては」表示必须，「にとっての」表示对于，均不符合语境。"
GT_N1_001_04,N1_001,0,CHOICE,「命[いのち]______物[もの]種[だね]」という諺[ことわざ]がある。,"[""なくての"", ""あっての"", ""なければの"", ""あればの""]",1,"文意：有句谚语叫「留得青山在，不怕没柴烧」。
考点：「命あっての物種」是固定用法，意为「有了生命才会有一切」。其他选项均不构成正确的惯用表达。"
GT_N1_001_05,N1_001,0,CHOICE,チームが優[ゆう]勝[しょう]できたのは、監[かん]督[とく]の指[し]導[どう]______ものだ。,"[""だからこその"", ""があっての"", ""ならではの"", ""であるからの""]",1,"文意：球队能夺冠，正是因为有教练的指导。
考点：「～があってのもの」表示「正因为有了前项，才有后项的存在」。「だからこその」语法不完整，「ならではの」表示独特，「であるからの」不是正确形式。"
GT_N1_002_01,N1_002,0,CHOICE,彼[かの]女[じょ]を悩[なや]ませているのは仕[し]事[ごと]のストレス______。,"[""以外の何ものでもない"", ""以外のものである"", ""ばかりでもない"", ""に他ならない""]",0,"文意：使她烦恼的正是工作压力。
考点：「～以外の何ものでもない」强调「不是别的，正是...」。「以外のものである」语法不完整，「ばかりでもない」表示并非仅仅，「に他ならない」虽然也表示强调但接续不同。"
GT_N1_002_02,N1_002,0,CHOICE,この世[よ]で生[い]き延[の]びる力[ちから]というのは学[がく]力[りょく]______。,"[""にほかならない"", ""以外の何ものでもない"", ""ではないとは限らない"", ""にすぎない""]",1,"文意：使我们能够在这个社会上生活下去的能力，不是其他的就是学习能力。
考点：「～以外の何ものでもない」强调「正是...」，用于句末强调判断。「にほかならない」接续不同，「ではないとは限らない」表示未必不是，「にすぎない」表示仅仅是。"
GT_N1_002_03,N1_002,0,CHOICE,今[こん]回[かい]の交[こう]通[つう]事[じ]故[こ]の原[げん]因[いん]は運[うん]転[てん]手[しゅ]の不[ふ]注[ちゅう]意[い]______。,"[""以外には考えられない"", ""以外の何ものでもない"", ""以外にはない"", ""に違いない""]",1,"文意：正是司机的疏忽大意酿成了这起交通事故。
考点：「～以外の何ものでもない」用于强调断定。「以外には考えられない」表示只能考虑，「以外にはない」表示没有其他，「に違いない」表示一定是，均不如原句强调程度高。"
GT_N1_002_04,N1_002,0,CHOICE,彼[かれ]の成[せい]功[こう]は努[ど]力[りょく]______と言[い]える。,"[""以外の何ものでもない"", ""以外にもある"", ""だけのことはある"", ""からこそだ""]",0,"文意：可以说他的成功正是努力的结果。
考点：「～以外の何ものでもない」强调「不是别的，正是...」。「以外にもある」表示还有其他，「だけのことはある」表示不愧是，「からこそだ」表示正因为。"
GT_N1_002_05,N1_002,0,CHOICE,このプロジェクトの失[しっ]敗[ぱい]は計[けい]画[かく]不[ぶ]足[そく]______。,"[""のせいだ"", ""以外の何ものでもない"", ""にほかならなかった"", ""のためだ""]",1,"文意：这个项目的失败正是计划不足造成的。
考点：「～以外の何ものでもない」用于强调某事物正是某个原因导致的结果。「のせいだ」「のためだ」表示原因但语气较弱，「にほかならなかった」时态不匹配。"
GT_N1_003_01,N1_003,0,CHOICE,出[しゅっ]席[せき]状[じょう]況[きょう]・学[がく]業[ぎょう]成[せい]績[せき]の______、奨[しょう]学[がく]金[きん]の支[し]給[きゅう]を停[てい]止[し]することもある。,"[""いかんで"", ""いかんでは"", ""いかんだ"", ""いかんか""]",1,"文意：根据出席情况和学习成绩，有可能会停止发放奖学金。
考点：「～いかんでは」表示「取决于前项，后项有可能会变化」，常与「～こともある」连用。「いかんで」后接决定，「いかんだ」用于句末，「いかんか」不是正确形式。"
GT_N1_003_02,N1_003,0,CHOICE,われわれの考[かんが]え方[かた]______、善[ぜん]と悪[あく]が分[わ]かれる。,"[""いかんでは"", ""いかんで"", ""いかんによっては"", ""いかんにより""]",1,"文意：看问题的角度不同，善恶的标准也会随之变化。
考点：「～いかんで」后项多是某个决定或结果，表示直接的因果关系。「いかんでは」「いかんによっては」表示可能性变化，与后项的确定性表述不符。"
GT_N1_003_03,N1_003,0,CHOICE,向[む]こうの対[たい]応[おう]の______、更[さら]に強[きょう]い措[そ]置[ち]を取[と]るかもしれない。,"[""いかんで"", ""いかんだ"", ""いかんによっては"", ""いかんとなれば""]",2,"文意：取决于对方的处理方式，我方有可能采取更强硬的措施。
考点：「～いかんによっては」表示「取决于前项，后项会变化」，常与「～かもしれない」连用。「いかんで」语气较弱，「いかんだ」用于句末，「いかんとなれば」不是正确形式。"
GT_N1_003_04,N1_003,0,CHOICE,天[てん]候[こう]の______、明[あす]日[あす]の行[こう]事[じ]を中[ちゅう]止[し]する可[か]能[のう]性[せい]もある。,"[""いかんでは"", ""いかんで"", ""いかんだ"", ""いかんにより""]",0,"文意：根据天气情况，明天的活动也有可能取消。
考点：「～いかんでは」后接表示可能性的表达，符合「～可能性もある」的语境。「いかんで」后接确定结果，「いかんだ」用于句末，「いかんにより」不完整。"
GT_N1_003_05,N1_003,0,CHOICE,交[こう]渉[しょう]の結[けっ]果[か]______、契[けい]約[やく]を結[むす]ぶかどうか決[き]める。,"[""いかんによっては"", ""いかんで"", ""いかんでは"", ""いかんにより""]",1,"文意：根据谈判的结果来决定是否签订合同。
考点：「～いかんで」后项是某个决定，表示根据前项做出决策。「いかんによっては」「いかんでは」表示可能性变化，与「決める」这种确定性表述不匹配。"
GT_N1_003_06,N1_003,1,CHOICE,試[し]合[あい]で逆[ぎゃく]転[てん]できるかどうかは、選[せん]手[しゅ]たちの意[い]志[し]______。,"[""いかんで"", ""いかんでは"", ""いかんだ"", ""いかんによっては""]",2,"文意：比赛中能否反超对手，取决于队员们的意志。
考点：「～いかんだ」用于句末，表示「取决于...」。「いかんで」「いかんでは」「いかんによっては」均用于句中，不能作为句末结尾。"
GT_N1_003_07,N1_003,1,CHOICE,先[せん]方[ぽう]に納[なっ]得[とく]してもらえるかどうかは、結[けっ]局[きょく]解[かい]釈[しゃく]の仕[し]方[かた]______。,"[""いかんにかかっている"", ""いかんだ"", ""いかんで"", ""いかんによる""]",1,"文意：能否得到对方客户的谅解，最终取决于解释说明的方法。
考点：「～いかんだ」用于句末，表示「取决于...」。「いかんにかかっている」也可以但略显冗长，「いかんで」「いかんによる」用于句中。"
GT_N1_003_08,N1_003,1,CHOICE,今[こん]回[かい]の不[ふ]祥[しょう]事[じ]をどう扱[あつか]うかは社[しゃ]員[いん]の考[かんが]え方[かた]______。,"[""いかんだ"", ""いかんにかかっている"", ""いかんで"", ""いかんでは""]",1,"文意：怎么处理这次的丑闻，取决于员工自己的看法。
考点：「～いかんにかかっている」用于句末，强调「完全取决于...」。「いかんだ」也可以但语气较弱，「いかんで」「いかんでは」用于句中。"
GT_N1_003_09,N1_003,1,CHOICE,会[かい]社[しゃ]の将[しょう]来[らい]は経[けい]営[えい]者[しゃ]の判[はん]断[だん]______。,"[""いかんで決まる"", ""いかんにかかっている"", ""いかんによっては"", ""いかんでは""]",1,"文意：公司的未来完全取决于经营者的判断。
考点：「～いかんにかかっている」表示「完全取决于...」，用于句末。「いかんで決まる」虽然意思相近但接续不同，「いかんによっては」「いかんでは」表示可能性。"
GT_N1_003_10,N1_003,1,CHOICE,契[けい]約[やく]が成[せい]立[りつ]するかどうかは、双[そう]方[ほう]の誠[せい]意[い]______。,"[""いかんだ"", ""いかんで"", ""いかんでは"", ""いかんによっては""]",0,"文意：合同能否成立，取决于双方的诚意。
考点：「～いかんだ」用于句末，表示「取决于...」。该句型与前文「～かどうかは」呼应，形成完整的句式结构。"
GT_N1_004_01,N1_004,0,CHOICE,出[しゅっ]席[せき]欠[けっ]席[せき]の______、同[どう]封[ふう]した葉[は]書[がき]にてお返[へん]事[じ]くださるようお願[ねが]いいたします。,"[""いかんによらず"", ""いかんで"", ""いかんでは"", ""いかんだから""]",0,"文意：不管出席与否，请在信封内的明信片里作出回复。
考点：「～いかんによらず」表示「不论前项如何，后项都不变」。「いかんで」「いかんでは」表示根据情况变化，「いかんだから」不是正确形式。"
GT_N1_004_02,N1_004,0,CHOICE,理[り]由[ゆう]の______、無[む]断[だん]欠[けっ]勤[きん]は認[みと]めない。,"[""いかんにかかわらず"", ""いかんで"", ""いかんによっては"", ""いかんだけで""]",0,"文意：不论出于什么理由都不允许无故旷工。
考点：「～いかんにかかわらず」表示「不管前项如何，后项都不变」。「いかんで」表示根据情况，「いかんによっては」表示可能变化，「いかんだけで」不是正确形式。"
